wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time,focused,runInBackground
112.72,65,0.0156,0.0467,1.003,1.003,60.2,0.0167,1.0000,1.00,400,0,96.24,1,1
113.74,41,0.0248,0.0533,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,97.26,1,1
114.74,53,0.0189,0.0377,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,98.26,1,1
115.74,54,0.0185,0.0336,0.999,0.999,60.0,0.0167,1.0000,1.00,400,0,99.26,1,1
116.74,59,0.0169,0.0321,0.999,0.999,60.0,0.0167,1.0000,1.00,400,0,100.26,1,1
117.75,56,0.0180,0.0317,1.002,1.002,60.7,0.0167,1.0000,1.00,400,0,101.26,1,1
118.75,56,0.0179,0.0233,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,102.27,1,1
119.75,60,0.0166,0.0322,0.998,0.998,60.0,0.0167,1.0000,1.00,400,0,103.26,1,1
120.75,79,0.0127,0.0283,1.002,1.002,59.9,0.0167,1.0000,1.00,400,0,104.27,1,1
121.76,80,0.0126,0.0271,1.000,1.000,60.5,0.0167,1.0000,1.00,400,0,105.28,1,1
122.76,82,0.0123,0.0220,1.000,1.000,59.6,0.0167,1.0000,1.00,400,0,106.28,1,1
123.77,67,0.0150,0.0335,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,107.29,1,1
124.77,86,0.0117,0.0189,1.000,1.000,60.6,0.0167,1.0000,1.00,400,0,108.29,1,1
125.78,90,0.0112,0.0222,0.999,0.999,59.5,0.0167,1.0000,1.00,400,0,109.30,1,1
126.79,86,0.0117,0.0247,1.000,1.000,60.6,0.0167,1.0000,1.00,400,0,110.31,1,1
127.79,83,0.0121,0.0251,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,111.31,1,1
128.79,85,0.0118,0.0266,0.999,0.999,59.8,0.0167,1.0000,1.00,400,0,112.31,1,1
129.80,83,0.0121,0.0228,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,113.31,1,1
130.80,78,0.0129,0.0289,1.000,1.000,59.7,0.0167,1.0000,1.00,400,0,114.32,1,1
131.81,88,0.0115,0.0264,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,115.33,1,1
132.81,82,0.0122,0.0187,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,116.33,1,1
133.81,63,0.0159,0.0401,0.999,0.999,59.9,0.0167,1.0000,1.00,400,0,117.33,1,1
134.83,53,0.0191,0.0334,1.001,1.001,60.2,0.0167,1.0000,1.00,400,0,118.35,1,1
135.85,53,0.0192,0.0257,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,119.37,1,1
136.86,52,0.0195,0.0354,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,120.38,1,1
137.87,49,0.0205,0.0396,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,121.38,1,1
138.88,49,0.0207,0.0372,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,122.40,1,1
139.89,44,0.0230,0.0976,1.000,1.000,60.4,0.0167,1.0000,1.00,400,0,123.41,1,1
140.89,44,0.0228,0.0349,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,124.41,1,1
141.90,46,0.0218,0.0390,1.000,1.000,59.8,0.0167,1.0000,1.00,400,0,125.41,1,1
142.91,49,0.0207,0.0301,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,126.43,1,1
143.91,50,0.0200,0.0265,0.999,0.999,59.9,0.0167,1.0000,1.00,400,0,127.43,1,1
144.93,50,0.0205,0.0333,1.001,1.001,60.7,0.0167,1.0000,1.00,400,0,128.45,1,1
145.95,49,0.0208,0.0344,0.999,0.999,59.9,0.0167,1.0000,1.00,400,0,129.47,1,1
146.96,69,0.0147,0.0332,1.001,1.001,60.3,0.0167,1.0000,1.00,400,0,130.48,1,1
147.97,59,0.0171,0.0353,1.000,1.000,59.5,0.0167,1.0000,1.00,400,0,131.49,1,1
148.99,54,0.0187,0.0312,0.997,0.997,60.1,0.0167,1.0000,1.00,400,0,132.50,1,1
149.99,69,0.0146,0.0205,1.002,1.002,59.9,0.0167,1.0000,1.00,400,0,133.51,1,1
151.00,56,0.0180,0.0352,0.996,0.996,60.2,0.0167,1.0000,1.00,400,0,134.51,1,1
152.02,59,0.0173,0.0274,1.005,1.005,60.0,0.0167,1.0000,1.00,400,0,135.54,1,1
